registry_id,brand_or_program,distribution_type,product_scope,known_panel_source,quote_url,public_phone_route,licensed_intermediary,requirements,distinct_rate_source_id,automation_notes,status,last_verified_at,source_citation
allstate,Allstate,direct,standard_PPA,Allstate Insurance Company of Canada; Pafco; Pembridge (validate Esurance),https://www.allstate.ca/quote,Allstate public sales line,,human,allstate,Online quote plus agent path per brief [3][14].,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
aviva_direct,Aviva Direct,direct,standard_PPA,Aviva General Insurance Company; Aviva Insurance Company of Canada,https://www.avivacanada.com/direct/,Aviva Direct public sales line,,,aviva_direct,"Direct online quoting; validate legacy entities (S&Y, Scottish & York, Traders) [14].",unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
belairdirect,belairdirect,direct,standard_PPA,Belair Insurance Company Inc. (Intact group),https://www.belairdirect.com/en/auto-insurance/quote.html,belairdirect public sales line,,,belairdirect,Direct writer under Intact group [3].,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
caa_insurance,CAA Insurance,direct,standard_PPA,CAA Insurance Company,https://www.caasco.com/insurance/auto,CAA public sales line,,membership,caa_insurance,CAA direct/broker route; Echelon (non-standard) is a separate CAA-group entity [7].,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
cooperators,Co-operators,agent,standard_PPA,Co-operators General Insurance Company (validate COSECO/CUMIS/Sovereign affinity+specialty scope),https://www.cooperators.ca/en/personal-insurance/auto-insurance.aspx,Co-operators local agent line,Local Co-operators agent,human,cooperators,Web/agent route.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
desjardins,Desjardins Insurance,direct,standard_PPA,Certas Direct Insurance Company; Certas Home and Auto Insurance Company,https://www.desjardinsinsurance.com/en/auto-insurance,Desjardins public sales line,,,desjardins,Web/agent route; The Personal is a separate affinity brand under this group.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
rbc_insurance,RBC Insurance,direct,standard_PPA,RBC Insurance (Aviva-underwritten program per brief [15]),https://www.rbcinsurance.com/auto-insurance/,RBC Insurance public sales line,,,rbc_insurance,Validate against Aviva Direct for duplicate_rate_source.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
sonnet,Sonnet Insurance,direct,standard_PPA,Sonnet Insurance Company (Definity group),https://www.sonnet.ca/get-a-quote,Sonnet public sales line,,,sonnet,Fully online direct quote flow [17]. MVP ROUTE.,active_mvp,2026-08-10,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
square_one,Square One,direct,standard_PPA,Zurich Insurance Company (per brief [8]),https://www.squareone.ca/car-insurance,Square One public sales line,,,square_one,Direct for Ontario car per brief note under Zurich group.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
td_insurance,TD Insurance,direct,standard_PPA,TD General Insurance Company; Primmum; Security National,https://www.tdinsurance.com/products-services/auto-insurance,TD Insurance public sales line,,,td_insurance,"Online, phone and affinity routes [16]. MVP ROUTE.",active_mvp,2026-08-10,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
